Placa,Modelo,Cor,Grupo,Tipo,KM,Loja Ope,Loja Loc,Regional Loc,Filial Loc,Status,Ult. RA,Loja Dev,Data Ret,Data Dev,Status RA,Reabertura RA,Ult. Nomrev,Dt Abert,Dt Fech,Data Fech Esper.,Status NR,Status Fech. NR,E/M,Qtd. Dias
TEN8A77,ONIX                ,CINZA               ,EA ,LTZ AT TURBO 1.0 4P ,21323,BHZ7,BSB2,CO  ,BSB ,DI ,28476605,BSB2,13/03/2026,15/03/2026,FEC,N,41139481,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
TYP0J48,RENAULT KWID 1.0 INT,CINZA               ,AM ,P                   ,350,BSB2,BSB2,CO  ,BSB ,DI ,28472133,BSB2,13/03/2026,15/03/2026,FEC,N,41147459,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
TYP1A34,RENAULT KWID 1.0 INT,PRATA               ,AM ,P                   ,294,BSB2,BSB2,CO  ,BSB ,DI ,28474681,BSB2,13/03/2026,16/03/2026,FEC,N,41147012,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
TXL2B29,VOLKSWAGEN POLO 1.0 ,BRANCO - SÓLIDO     ,B  ,P                   ,21964,BSB2,BSB2,CO  ,BSB ,DI ,28474904,BSB2,13/03/2026,16/03/2026,FEC,N,41147216,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
TXL2C21,POLO                ,BRANCO - SÓLIDO     ,B  ,POLO 1.0            ,17776,BSB2,BSB2,CO  ,BSB ,DI ,28479562,BSB2,14/03/2026,15/03/2026,FEC,N,41142640,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
UAZ7I27,CHEVROLET ONIX 1.0 5,CINZA DRAKE - METÁLI,B  ,P                   ,6890,BSB2,BSB2,CO  ,BSB ,DI ,28452916,BSB2,07/03/2026,15/03/2026,FEC,N,41144624,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
UBA3H42,CHEVROLET ONIX 1.0 5,AZUL BOREAL - METÁLI,B  ,P                   ,8872,BSB2,BSB2,CO  ,BSB ,DI ,28468817,BSB2,12/03/2026,16/03/2026,FEC,N,41144655,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
GCZ3C61,POLO                ,CINZA               ,B  ,TRACK MPI 1.0 4P    ,70971,BSB2,BSB2,CO  ,BSB ,DI ,28446498,BSB2,06/03/2026,15/03/2026,FEC,N,41130751,15/03/2026,16/03/2026,14/05/2026,DO ,DI ,E ,0
TYO9H29,HYUNDAI HB20 1.0 T-G,PRETO               ,CA ,P                   ,1208,BSB2,BSB2,CO  ,BSB ,DI ,28472613,BSB2,13/03/2026,15/03/2026,FEC,N,41140697,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
TCM0B48,ARGO                ,CINZA               ,EA ,TREKKING AT 1.3 4P  ,52572,BSB2,BSB2,CO  ,BSB ,DI ,28472127,BSB2,12/03/2026,16/03/2026,FEC,N,41136307,16/03/2026,16/03/2026,16/03/2026,CQ ,DI ,E ,0
