Placa,Modelo,Cor,Grupo,Tipo,KM,Loja Ope,Loja Loc,Regional Loc,Filial Loc,Status,Ult. RA,Loja Dev,Data Ret,Data Dev,Status RA,Reabertura RA,Ult. Nomrev,Dt Abert,Dt Fech,Data Fech Esper.,Status NR,Status Fech. NR,E/M,Qtd. Dias
GJT1C32,POLO                ,BRANCA              ,B  ,TRACK MPI 1.0 4P    ,47925,BSB2,BSB2,CO  ,BSB ,NO ,28464502,BSB2,11/03/2026,15/03/2026,FEC,N,41147579,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
SUF9J12,POLO                ,BRANCA              ,B  ,TRACK MPI 1.0 4P    ,52301,BSB2,BSB2,CO  ,BSB ,NO ,28476707,BSB2,13/03/2026,15/03/2026,FEC,N,41133788,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TEN3I97,ARGO                ,CINZA               ,B  ,FLEX 1.0 4P         ,26670,BSB2,BSB2,CO  ,BSB ,NO ,28437254,BSB2,04/03/2026,16/03/2026,FEC,N,41141015,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TJL0J16,POLO                ,PRATA               ,B  ,TRACK MPI 1.0 4P    ,32617,BSB2,BSB2,CO  ,BSB ,NO ,28475731,BSB2,13/03/2026,15/03/2026,FEC,N,41140357,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TXA6H62,ONIX PLUS           ,CINZA               ,CA ,TURBO LT AT 1.0 4P  ,24970,BSB2,BSB2,CO  ,BSB ,NO ,28426214,BSB2,01/03/2026,15/03/2026,FEC,N,41129014,15/03/2026,,15/03/2026,NO ,ZZ ,E ,1
TYO9H24,HYUNDAI HB20 1.0 T-G,PRETO               ,CA ,P                   ,2330,BSB2,BSB2,CO  ,BSB ,NO ,28469137,BSB2,12/03/2026,16/03/2026,FEC,N,41134959,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TWZ3G90,HB20                ,BRANCA              ,EA ,PLATINUM TGDI AT 1.0,17313,BSB2,BSB2,CO  ,BSB ,NO ,28466944,BSB2,11/03/2026,16/03/2026,FEC,N,41137002,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TYP4J87,FIAT FASTBACK 1.0 TU,BRANCO              ,SV ,P                   ,0,BSB2,BSB2,CO  ,BSB ,NO ,0,,,,,N,41138119,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TEN1D59,HB20S               ,BRANCA              ,CA ,PLATINUM TGDI AT 1.0,28472,BSB7,BSB2,CO  ,BSB ,NO ,28472997,BSB2,13/03/2026,15/03/2026,FEC,N,41133664,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TKL0F83,SAVEIRO             ,BRANCA              ,G1 ,CS ROBUST 16V 1.6 2P,13980,FRM1,BSB2,CO  ,BSB ,NO ,28445878,BSB2,06/03/2026,14/03/2026,FEC,N,41126837,15/03/2026,,15/03/2026,NO ,ZZ ,E ,1
TDY8F01,ARGO                ,PRETA               ,B  ,DRIVE 1.0 4P        ,32042,GYN3,BSB2,CO  ,BSB ,NO ,28474735,BSB2,13/03/2026,16/03/2026,FEC,N,41146845,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
TXK4I39,ONIX PLUS           ,VERMELHA            ,BS ,LT MT 1.0 4P        ,21424,GYN3,BSB2,CO  ,BSB ,NO ,28478766,BSB2,14/03/2026,16/03/2026,FEC,N,41147065,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
STS4C45,POLO                ,BRANCA              ,B  ,TRACK MPI 1.0 4P    ,58686,SLZ4,BSB2,CO  ,BSB ,NO ,28477602,BSB2,14/03/2026,15/03/2026,FEC,N,41133739,16/03/2026,,16/03/2026,NO ,ZZ ,E ,0
