Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28469111,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/12/2026,09:37,03/15/2026,00:00,UDQ5D64,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28468893,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,03/12/2026,08:59,03/15/2026,06:00,UEL2H45,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28476422,BSB2,490963,PARCERIA,CO  ,BSB ,BSB2,E,03/13/2026,19:28,03/15/2026,06:00,TYP4J95,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não
28464256,BSB2,345955,OTA,CO  ,BSB ,BSB2,E,03/10/2026,20:23,03/15/2026,07:00,TXB9I88,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não
28453367,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,03/08/2026,08:28,03/15/2026,07:00,TXB9I74,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não
28461910,BSB2,345813,PARCERIA,CO  ,BSB ,BSB2,E,03/10/2026,11:40,03/15/2026,07:00,TDX6C51,CA ,ONIX PLUS,TURBO LT AT 1.0 4P,Nao,,,,Não
28443552,BSB2,490963,PARCERIA,CO  ,BSB ,BSB2,E,03/05/2026,19:22,03/15/2026,07:00,TEN8A76,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não
28464249,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,03/10/2026,20:16,03/15/2026,07:30,GCX3J41,SV ,T-CROSS,200 TSI AT 1.0 4P,Nao,,,,Não
28472529,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,08:11,03/15/2026,07:56,TYP0J88,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28477933,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/14/2026,09:36,03/15/2026,08:00,QSX1D14,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não
28472133,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,00:11,03/15/2026,08:30,TYP0J48,AM ,RENAULT KWID 1.0 INT,P,Nao,,,,Não
28476649,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,03/13/2026,20:40,03/15/2026,09:15,TEM2H82,AM ,MOBI,LIKE 1.0 4P,Nao,,,,Não
28478067,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/14/2026,10:02,03/15/2026,10:00,TEP5J86,SP ,X1,SDRIVE20I X LINE 2.0,Nao,,,,Não
28478290,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,03/14/2026,10:30,03/15/2026,10:00,TXX7B54,AM ,FIAT MOBI 1.0 LIKE 5,P,Nao,,,,Não
28471888,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,03/12/2026,20:38,03/15/2026,10:30,TEN7I92,B  ,ARGO,FLEX 1.0 4P,Nao,,,,Não
