Contrato,Loja Loc.,Código Tarifa,Seg. Mercado,Regional,Filial,Loja Dev.,E/M,Data Ret.,Hora Ret.,Data Dev.,Hora Dev.,Placa,Grupo,Modelo,Tipo,Reab.,Data Reab.,Doc. Responsável Reab.,Responsável Reab.,Placa Desvinc.
28354449,BSB2,483656,AG,CO  ,BSB ,BSB2,E,10/02/2026,11:56,12/03/2026,10:58,TDX6E56,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não
28360040,BSB2,478795,AG,CO  ,BSB ,BSB2,E,11/02/2026,20:51,13/03/2026,20:00,TDJ7F95,SU ,DUSTER,ICONIC AT SCE 1.6 4P,Nao,,,,Não
28462268,BSB2,490980,AG,CO  ,BSB ,BSB7,E,10/03/2026,12:40,14/03/2026,09:26,TCM0A92,CA ,CRONOS,DRIVE AT 1.3 4P,Nao,,,,Sim,
28431097,BSB2,346652,REPLACEMENT PJ,CO  ,BSB ,BSB2,E,02/03/2026,17:27,14/03/2026,16:45,TXM0F20,B  ,ARGO,DRIVE 1.0 4P,Nao,,,,Não,
28475389,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,16:08,14/03/2026,19:07,QST1H69,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28479398,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,14:15,15/03/2026,14:33,TXW4H06,CA ,HYUNDAI HB20 1.0 T-G,P,Nao,,,,Não,
28452828,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,07/03/2026,19:08,15/03/2026,19:03,TIP6J14,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28472021,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,22:02,15/03/2026,22:00,TXK3D65,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28404222,BSB2,417338,REPLACEMENT,CO  ,BSB ,BSB2,E,24/02/2026,06:18,16/03/2026,06:00,UBA3H09,B  ,CHEVROLET ONIX 1.0 5,P,Nao,,,,Não,
28369949,BSB2,375061,MENSAL MAIS,CO  ,BSB ,BSB2,E,14/02/2026,06:36,16/03/2026,06:33,TXB9I78,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28464689,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,11/03/2026,07:31,16/03/2026,07:00,TXA6H54,CA ,ONIX PLUS,TURBO LT AT 1.0 4P,Nao,,,,Não,
28460477,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,10/03/2026,06:55,16/03/2026,07:15,TXV2F32,SV ,HYUNDAI CRETA 1.0 T-,P,Nao,,,,Não,
28379374,BSB2,417693,REPLACEMENT PJ,CO  ,BSB ,BSB2,E,17/02/2026,11:16,16/03/2026,09:30,TEU0E87,SV ,TRACKER,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28469320,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,10:21,16/03/2026,10:00,TEL5F12,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28475458,BSB2,345682,OUTROS PF,CO  ,BSB ,BSB2,E,13/03/2026,16:19,16/03/2026,13:30,GTN6C41,B  ,ONIX,MT 1.0 4P,Nao,,,,Não,
28457799,BSB2,492269,OUTROS PF,CO  ,BSB ,BSB2,E,09/03/2026,12:28,16/03/2026,13:45,TYO3J21,BS ,ONIX PLUS,LT MT 1.0 4P,Nao,,,,Não,
28479372,BSB2,393694,OUTROS PF,CO  ,BSB ,BSB2,E,14/03/2026,13:49,16/03/2026,14:00,TXB9I73,SV ,CRETA,LIMITED TGDI AT 1.0,Nao,,,,Não,
28474642,BSB2,419539,AG,CO  ,BSB ,BSB2,E,13/03/2026,13:47,16/03/2026,14:00,TEE6E50,CA ,ONIX PLUS,TURBO PREMIER AT 1.0,Nao,,,,Não,
28458205,BSB2,476363,REPLACEMENT,CO  ,BSB ,BSB2,E,09/03/2026,13:42,16/03/2026,14:45,TLZ6G24,EA ,POLO,HIGHLINE TSI AT 1.0,Nao,,,,Não,
28470736,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,12/03/2026,15:36,16/03/2026,15:35,TES4A50,SU ,NIVUS,HIGHLINE 200 TSI AT,Nao,,,,Não,
28463236,BSB2,345676,PARCERIA,CO  ,BSB ,BSB2,E,10/03/2026,16:05,16/03/2026,16:04,TXD3H62,EA ,ONIX,LTZ AT TURBO 1.0 4P,Nao,,,,Não,
28471179,BSB2,417967,OTA,CO  ,BSB ,BSB2,E,12/03/2026,17:16,16/03/2026,16:30,EUP5G42,B  ,POLO,TRACK MPI 1.0 4P,Nao,,,,Não,
28444765,BSB2,481839,OUTROS PF,CO  ,BSB ,BSB2,E,06/03/2026,08:49,16/03/2026,16:30,TXA8E82,SU ,PULSE,DRIVE AT 1.3 4P,Nao,,,,Não,
